央视,#genre#
教育台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227202/.m3u8
山东教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227474/.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227067/.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227323/.m3u8
CETV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/.m3u8
CETV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/.m3u8
黑莓动画,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227303/.m3u8
嘉佳卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227230/.m3u8
金鹰卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/.m3u8
哈哈炫动,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227335/.m3u8
卡酷动漫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227456/.m3u8
新动漫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227498/.m3u8

精彩,#genre#
潮妈辣婆,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227311/.m3u8
睛彩广场舞,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227343/.m3u8
炫舞未来,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227319/.m3u8
睛彩竞技,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227047/.m3u8
睛彩篮球,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227158/.m3u8
先锋乒羽,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226851/.m3u8
睛彩青少,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227314/.m3u8
精品记录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227461/.m3u8
精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227470/.m3u8
明星综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/.m3u8
环球奇观,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227490/.m3u8
中华美食,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227502/.m3u8
生态环境,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227494/.m3u8
茶频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226859/.m3u8
精品宠萌,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227183/.m3u8
快乐垂钓,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226940/.m3u8
综艺2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227452/.m3u8
怡伴健康,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227460/.m3u8
优购物,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/.m3u8
优购物2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227469/.m3u8
多屏直播,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226664/.m3u8
多屏直播2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226866/.m3u8
大波电竞,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227252/.m3u8
大波赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227331/.m3u8

历年春晚,#genre#
春晚83,http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
春晚84,https://txmov2.a.kwimgs.com/bs3/video-hls/5229242184269609742_hlshd15.m3u8
春晚85,http://txmov2.a.kwimgs.com/bs3/video-hls/5227271857652377954_hlshd15.m3u8
春晚86,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚87,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚88,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚89,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
春晚91,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚92,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
